Id,IsEffectMix,MaxLimitedValue,AbilityLimitedText
1,0,25,(Max{ability_limit0}%)
2,0,30,(Max{ability_limit0}%)
3,0,25,(Max{ability_limit0}%)
4,0,25,(Max{ability_limit0}%)
5,0,25,(Max{ability_limit0}%)
6,0,25,(Max{ability_limit0}%)
7,0,25,(Max{ability_limit0}%)
8,0,25,(Max{ability_limit0}%)
9,0,25,(Max{ability_limit0}%)
10,0,20,(Max{ability_limit0}%)
11,0,20,(Max{ability_limit0}%)
12,0,20,(Max{ability_limit0}%)
13,0,20,(Max{ability_limit0}%)
14,0,20,(Max{ability_limit0}%)
15,0,20,(Max{ability_limit0}%)
16,0,20,(Max{ability_limit0}%)
17,0,20,(Max{ability_limit0}%)
18,0,25,(Max{ability_limit0}%)
19,0,35,(Max{ability_limit0}%)
20,0,25,(Max{ability_limit0}%)
21,0,15,(Max{ability_limit0}%)
22,0,15,(Max{ability_limit0}%)
23,0,15,(Max{ability_limit0}%)
24,0,15,(Max{ability_limit0}%)
25,0,15,(Max{ability_limit0}%)
26,0,15,(Max{ability_limit0}%)
27,0,15,(Max{ability_limit0}%)
28,0,15,(Max{ability_limit0}%)
29,0,20,(Max{ability_limit0}%)
30,0,100,(Max{ability_limit0}%)
31,0,15,(Max{ability_limit0}%)
32,0,40,(Max{ability_limit0}%)
33,0,40,(Max{ability_limit0}%)
34,0,40,(Max{ability_limit0}%)
35,0,40,(Max{ability_limit0}%)
36,0,40,(Max{ability_limit0}%)
37,0,40,(Max{ability_limit0}%)
38,0,40,(Max{ability_limit0}%)
39,0,40,(Max{ability_limit0}%)
40,0,15,(Max{ability_limit0}%)
41,0,0,(Max{ability_limit0}%)
42,0,20,(Max{ability_limit0}%)
43,0,20,(Max{ability_limit0}%)
44,0,0,(Max{ability_limit0}%)
45,0,20,(Max{ability_limit0}%)
46,0,30,(Max{ability_limit0}%)
47,0,50,(Max{ability_limit0}%)
48,0,15,(Max{ability_limit0}%)
49,0,15,(Max{ability_limit0}%)
50,0,30,(Max{ability_limit0}%)
51,0,35,(Max{ability_limit0}%)
52,0,10,(Max{ability_limit0}%)
53,1,3,(MaxⅢ)
54,1,6,(Max{ability_limit0}%)
55,1,6,(Max{ability_limit0}%)
56,1,15,(Max{ability_limit0}%)
57,1,60,(Max{ability_limit0}%)
58,1,20,(Max{ability_limit0}%)
59,1,15,(Max{ability_limit0}%)
60,1,3,(MaxⅢ)
61,1,20,(Max{ability_limit0}%)
62,1,100,(Max{ability_limit0}%)
63,1,15,(Max{ability_limit0}%)
64,1,20,(Max{ability_limit0}%)
65,1,25,(Max{ability_limit0}%)
66,1,3,(MaxⅢ)
67,1,4,(MaxⅣ)
68,1,20,(Max{ability_limit0}%)
69,1,15,(Max{ability_limit0}%)
70,1,1,(MaxⅠ)
71,1,2,(MaxⅡ)
73,1,1,(MaxⅤ)
74,1,3,(MaxⅢ)
75,1,2,(MaxⅡ)
76,0,15,(Max{ability_limit0}%)
77,0,15,(Max{ability_limit0}%)
78,0,15,(Max{ability_limit0}%)
79,0,15,(Max{ability_limit0}%)
80,0,15,(Max{ability_limit0}%)
81,0,25,(Max{ability_limit0}%)
82,0,25,(Max{ability_limit0}%)
83,0,25,(Max{ability_limit0}%)
84,0,25,(Max{ability_limit0}%)
85,0,25,(Max{ability_limit0}%)
86,0,25,(Max{ability_limit0}%)
87,0,25,(Max{ability_limit0}%)
88,0,25,(Max{ability_limit0}%)
89,0,25,(Max{ability_limit0}%)
90,0,25,(Max{ability_limit0}%)
91,1,0,ABILITY_LIMITED_TEXT_
92,0,0,ABILITY_LIMITED_TEXT_
93,1,0,ABILITY_LIMITED_TEXT_
94,0,25,(Max{ability_limit0}%)
95,0,0,ABILITY_LIMITED_TEXT_
96,0,0,ABILITY_LIMITED_TEXT_
97,0,0,(Max{ability_limit0}%)
98,0,0,(Max{ability_limit0}%)
99,0,150,(Max{ability_limit0}%)
100,0,100,(Max{ability_limit0}%)
101,0,150,(Max{ability_limit0}%)
102,0,150,(Max{ability_limit0}%)
103,0,150,(Max{ability_limit0}%)
104,0,75,(Max{ability_limit0}%)
105,0,50,(Max{ability_limit0}%)
106,0,75,(Max{ability_limit0}%)
107,0,75,(Max{ability_limit0}%)
