Id,Name,Rarity,AmuletType,MinHp,MaxHp,MinAtk,MaxAtk,BaseId,VariationId,Abilities11,Abilities12,Abilities13,Abilities21,Abilities22,Abilities23,Abilities31,Abilities32,Abilities33,CvInfo,Text1,Text2,Text3,Text4,Text5,LimitBreakId,IsPlayable,SellCoin,SellDewPoint,IsHideChangeImage
40020001,勇跃指环,2,3,5,36,1,12,400001,1,110090001,110090002,110090003,0,0,0,0,0,0,AMULET_ARTIST_40020001,远古时代效忠于阿尔贝里亚王国的\n某位勇敢骑士所持有的魔法指环。\n镶嵌在指环上的蓝宝石仍蕴含微弱的魔力，\n相传它可以守护佩戴者。,远古时代效忠于阿尔贝里亚王国的\n某位勇敢骑士所持有的魔法指环。\n佩戴指环消灭了无数魔兽的骑士\n因此得名指环骑士，受到人们的赞颂。,远古时代效忠于阿尔贝里亚王国的\n某位勇敢骑士所持有的魔法指环。\n相传骑士与魔兽殊死战斗之际，\n指环曾与其勇敢的灵魂产生共鸣，\n发出耀眼的光芒。,远古时代效忠于阿尔贝里亚王国的\n某位勇敢骑士所持有的魔法指环。\n指环骑士为了保护新兵青年\n而殒命讨伐魔兽的战场。\n这位拯救伙伴的英雄最终被人厚葬。,远古时代效忠于阿尔贝里亚王国的\n某位勇敢骑士所持有的魔法指环。\n虽然指环骑士殒命战场，\n但他救下的青年继承了他的指环，\n作为新的指环骑士名留后世。,10000,1,50,0,0
40020002,海鲜汤,2,3,5,36,1,12,400002,1,110120005,110120006,110120007,0,0,0,0,0,0,AMULET_ARTIST_40020002,这位客人，欢迎光临！\n新鲜的大虾、鱿鱼、蛤蜊！\n圣罗塔斯引以为傲的海产\n烹制而成的海鲜汤！快来尝尝吧！,这海鲜汤是奶奶\n还在世的时候教我做的，\n所以有着回忆的味道……\n嗯？这么快就喝完了！？\n别急，这就去给你再盛一碗！,来！热乎的海鲜汤！\n怎么样，美味得停不下来吧？\n当年在圣罗塔斯开店的时候，\n这海鲜汤一经推出就大受好评。\n现在已经是这里的招牌菜。,因为这汤实在太美味，\n当初有位客人死缠烂打\n求我教她做法。\n无论怎么拒绝她都不死心，\n不得已只好收她为徒了。,缘分这东西真是不可思议。\n当初的徒弟，现在已是老板娘了。\n哈哈哈！多亏了这海鲜汤，\n那之后的人生简直如鱼得水。\n我都不知道该怎么感谢奶奶！,10000,1,50,0,0
40020003,龙之秘药,2,3,5,36,1,12,400003,1,110220001,110220002,110220003,0,0,0,0,0,0,AMULET_ARTIST_40020003,蕴藏着龙之力的秘药。\n据说是由某位古怪的魔法师\n收集脱落的龙鳞\n熬制而成的。,蕴藏着龙之力的秘药。\n魔法师四处推销此药，\n称只要喝了它就能获得龙之力。\n然而，购买者喝下后\n并没有任何效果。,蕴藏着龙之力的秘药。\n自觉受骗的人们纷纷扔掉秘药，\n但其实魔法师所言不虚。\n只有与龙缔结契约之人，\n才能发挥秘药的真正价值。,蕴藏着龙之力的秘药。\n秘药在与龙缔结契约之人手里\n会发出淡淡的微光。\n据说这是因为秘药成分中的龙鳞\n感应到了契约者的魔力。,蕴藏着龙之力的秘药。\n喝下秘药的契约者将获得巨大的力量。\n然而秘药是把双刃剑。\n喝得越多，契约者就会变得越不像人类，\n而是更接近卓越的龙……,10000,1,50,0,0
40020004,魔力源点,2,1,5,35,1,13,400004,1,110060001,110060002,110060003,0,0,0,0,0,0,AMULET_ARTIST_40020004,不断涌出大量魔力的特殊地点。\n这充满魔力的神秘空间\n自古以来就作为神圣之地\n被附近的村民所崇奉。,不断涌出大量魔力的特殊地点。\n这充满魔力的神秘空间\n是施展魔法的最佳场所。\n据说周游世界的魔法师们为了修行，\n有时在这里一待就是数月。,不断涌出大量魔力的特殊地点。\n每隔数月，\n它便会释放异乎寻常的魔力。\n释放出的庞大魔力滋养大地，\n使众多生命充满活力。,不断涌出大量魔力的特殊地点。\n相传它附近的区域\n可以得到神圣之力的加护。\n古代的人们曾以魔力源点为中心\n建造了巨大的都市。,不断涌出大量魔力的特殊地点。\n全世界的魔力源点都是通过\n地下深处流动的魔力汇聚在一起。\n魔力源点喷涌而出的魔力\n也是世界正在呼吸的证明。,10000,1,50,0,0
40020005,陈旧的竖琴,2,4,5,36,1,12,400005,1,110100001,110100002,110100003,0,0,0,0,0,0,AMULET_ARTIST_40020005,放置在酒馆角落的陈旧竖琴。\n据说在很久以前，\n一位吟游诗人用这架竖琴\n弹唱了一首人与龙之间的悲情恋歌。,放置在酒馆角落的陈旧竖琴。\n吟游诗人弹唱的人龙恋曲扣人心弦，\n令人身临其境、感同身受，\n倾听的人们纷纷沉醉其中。,放置在酒馆角落的陈旧竖琴。\n某一天，倾听的客人再也抑制不住好奇，\n向吟游诗人打听人龙之恋的结局，\n但吟游诗人沉默不语，只是低头沉思。,放置在酒馆角落的陈旧竖琴。\n客人们以为打扰了吟游诗人的兴致，\n吟游诗人却又若无其事地开始弹唱。\n酒馆重新回到了原本喧嚣快乐的夜晚。,放置在酒馆角落的陈旧竖琴。\n客人们离开后空荡荡的酒馆里，\n吟游诗人仍然独自一人弹奏着竖琴，\n想要把这美丽的音符\n送给那永远无法再次相见的恋人。,10000,1,50,0,0
40030001,名马斯卡比特,3,1,10,71,3,25,400006,1,110080002,110080003,110080004,0,0,0,0,0,0,AMULET_ARTIST_40030001,曾经有一匹马不愿被任何人骑，\n因此被人们称作狂马。\n然而，驯服它的男人出现了。\n他的名字叫作丹。\n——被后世称为“霸王”的男人。,那是一匹会害死骑士的凶煞之马。\n有占卜师这样忠告丹。然而丹却不以为然，\n“你看它凶煞，是因为你害怕被它伤害，\n也就是说，你是我的敌人。”\n说着，丹斩杀了占卜师。,被称作斯卡比特的狂马\n与王一同驰骋战场。\n传说它宛如奔腾荒野的狂风，\n又如划过天际的流星。,久经沙场的斯卡比特\n却从未受过伤。\n一定能共同抵达世界的尽头。\n人与马对此都曾深信不疑……,被称作霸王的丹，最终还是死了。\n即便是战场上所向披靡的斯卡比特，\n也难以将王从阴谋诡计中拯救出来。\n斯卡比特独自奔向了战场，\n因为它想不出其他办法为王送行。,10000,1,300,150,0
40030002,圣光轮,3,4,10,73,3,23,400007,1,110100002,110100003,110100004,0,0,0,0,0,0,AMULET_ARTIST_40030002,对伊莉雅教徒来说，\n圣光轮是最重要的象征之一。\n因为它代表着\n女神伊莉雅带来的光明。,伊莉雅教徒最基本的祈祷方法\n是模仿圣光轮在胸前画圆。\n圆的画法有很多严格的规范。,据说女神回应教徒的祈祷时，\n圣光轮会放出光芒。\n这就是常在传说中登场的“显灵”，\n也是教徒的心灵支柱。,圣光轮上的四个棱角，\n分别代表着被称为四德的\n“思虑”、“慈爱”、“勇气”和“虔诚”。,阿尔贝里亚的人们无论是新生命诞生，\n还是父母去世，都会向圣光轮祈祷。\n圣光轮的光辉与阿尔贝里亚同在，\n是阿尔贝里亚民众的精神食粮。,10000,1,300,150,0
40030003,下午茶时光,3,3,10,71,3,25,400008,1,110120006,110120007,110120008,0,0,0,0,0,0,AMULET_ARTIST_40030003,欢迎光临。\n这里有上好的点心、美味的红茶。\n您可以优雅享受午后时光。,礼仪？规矩？这些确实重要。\n不过，最重要的是拥有一颗\n享受下午茶时光的心。,今天为您准备了特别的茶具。\n享受下午茶的方式多种多样，\n您能够在视觉、嗅觉、味觉上\n都得到满足。,请问要在茶里加点什么呢？\n牛奶？香草？果酱？还是蜂蜜？\n不过这些都不如您的笑容香甜。,快乐的时光总是那么短暂。\n不过，等待的时间越漫长，\n再会的时候越是甜蜜呢。\n下一次将是只属于\n我们两人的下午茶时光。,10000,1,300,150,0
40030004,颠茄花,3,3,10,71,3,25,400009,1,110130002,110130003,110130004,0,0,0,0,0,0,AMULET_ARTIST_40030004,颠茄花是生长于阿尔贝里亚的\n多年生野生植物。\n厚重的花瓣是它的特征之一，\n它开出的花朵洁白而美丽。,颠茄花的毒性很强。\n如不慎摄入，会出现痉挛、呕吐等症状。\n虽然很少危及生命，不过仍需注意。,颠茄花开花后，\n花瓣很快就会变得十分鲜艳。\n“龙之守护者”一族认为，\n给幼龙喂食这种鲜艳的花\n将有益它们的成长。,颠茄花主要生长在高山地带。\n因为常出现于雾气环绕的山间，\n它也被称作“迷雾女王”。,颠茄花的花语是“不为人知的美”、\n“刹那间的美”、“请看着我”。\n那转瞬即逝的美丽和梦幻，\n自古便有种令人痴迷的魔力。,10000,1,300,150,0
40030005,阿尔贝里亚国旗,3,1,10,71,3,25,400010,1,110070002,110070003,110070004,0,0,0,0,0,0,AMULET_ARTIST_40030005,飘扬吧，勇敢的龙之旗啊！\n我们伟大的王，流淌着龙之血。\n我们向龙之血宣誓效忠。\n啊，阿尔贝里亚，阿尔贝里亚！,飘扬吧，勇敢的龙之旗啊！\n深爱的大地，由我们守护。\n与龙一起，追随伟大的王。\n啊，阿尔贝里亚，阿尔贝里亚！,飘扬吧，勇敢的龙之旗啊！\n我们要挑战，邪恶的魔神。\n勇往直前，胜利就在前方。\n啊，阿尔贝里亚，阿尔贝里亚！,飘扬吧，勇敢的龙之旗啊！\n我们期待着王的凯旋。\n和平与王一起，消失在大地尽头。\n啊，阿尔贝里亚，阿尔贝里亚！,在万丈光芒中飘扬，勇敢的龙之旗啊！\n我们祈祷着，永世的安宁。\n逝去之王的心，将与我们同在。\n啊，阿尔贝里亚，阿尔贝里亚！\n挥舞旗帜吧，阿尔贝里亚的子民！,10000,1,300,150,0
