Id,AmuletId,NeedDewPoint1,NeedDewPoint2,NeedDewPoint3,NeedDewPoint4,NeedDewPoint5,Priority,Limit,CommenceDate,CompleteDate,PickupViewStartDate,PickupViewEndDate,MemoryPickupEventId
101,40050001,4000,6000,9000,9000,9000,199,0,,,,,0
102,40050002,4000,6000,9000,9000,9000,198,0,,,,,0
103,40050003,4000,6000,9000,9000,9000,197,0,,,,,0
104,40050004,4000,6000,9000,9000,9000,196,0,,,,,0
105,40050005,4000,6000,9000,9000,9000,195,0,,,,,0
106,40050006,4000,6000,9000,9000,9000,194,0,,,,,0
107,40050007,4000,6000,9000,9000,9000,193,0,,,,,0
108,40050008,4000,6000,9000,9000,9000,192,0,,,,,0
109,40050009,4000,6000,9000,9000,9000,191,0,,,,,0
110,40050010,4000,6000,9000,9000,9000,190,0,,,,,0
111,40050013,4000,6000,9000,9000,9000,189,0,,,,,0
112,40050014,4000,6000,9000,9000,9000,188,0,,,,,0
113,40050015,4000,6000,9000,9000,9000,187,0,,,,,0
114,40050020,4000,6000,9000,9000,9000,186,0,,,2019/12/26 06:00:00,2019/12/31 05:59:59,0
115,40050021,4000,6000,9000,9000,9000,185,0,,,2019/06/20 06:00:00,2019/06/30 05:59:59,20818
116,40050022,4000,6000,9000,9000,9000,184,0,,,2019/06/20 06:00:00,2019/06/30 05:59:59,20818
117,40050026,4000,6000,9000,9000,9000,183,0,,,,,0
118,40050027,4000,6000,9000,9000,9000,182,0,,,,,0
119,40050034,4000,6000,9000,9000,9000,181,0,,,,,20820
120,40050035,4000,6000,9000,9000,9000,180,0,,,,,20820
121,40050037,4000,6000,9000,9000,9000,179,0,,,,,0
122,40050038,4000,6000,9000,9000,9000,178,0,,,,,0
123,40050042,4000,6000,9000,9000,9000,177,0,,,2019/12/26 06:00:00,2019/12/31 05:59:59,0
124,40050043,4000,6000,9000,9000,9000,176,0,,,,,0
125,40050045,4000,6000,9000,9000,9000,175,0,,,,,0
126,40050053,4000,6000,9000,9000,9000,174,0,,,2020/04/13 06:00:00,2020/04/20 05:59:59,0
127,40040001,2000,3000,4000,4000,4000,173,0,,,,,0
128,40040002,2000,3000,4000,4000,4000,172,0,,,,,0
129,40040003,2000,3000,4000,4000,4000,171,0,,,,,0
130,40040004,2000,3000,4000,4000,4000,170,0,,,,,0
131,40040005,2000,3000,4000,4000,4000,169,0,,,,,0
132,40040006,2000,3000,4000,4000,4000,168,0,,,,,0
133,40040007,2000,3000,4000,4000,4000,167,0,,,,,0
134,40040008,2000,3000,4000,4000,4000,166,0,,,,,0
135,40040009,2000,3000,4000,4000,4000,165,0,,,,,0
136,40040010,2000,3000,4000,4000,4000,164,0,,,,,0
137,40040011,2000,3000,4000,4000,4000,163,0,,,,,0
138,40040012,2000,3000,4000,4000,4000,162,0,,,,,0
139,40040013,2000,3000,4000,4000,4000,161,0,,,,,0
140,40040014,2000,3000,4000,4000,4000,160,0,,,,,0
141,40040015,2000,3000,4000,4000,4000,159,0,,,,,0
142,40040016,2000,3000,4000,4000,4000,158,0,,,,,0
143,40040017,2000,3000,4000,4000,4000,157,0,,,,,0
144,40040018,2000,3000,4000,4000,4000,156,0,,,,,0
145,40040019,2000,3000,4000,4000,4000,155,0,,,,,0
146,40040020,2000,3000,4000,4000,4000,154,0,,,,,0
147,40040028,2000,3000,4000,4000,4000,153,0,,,,,0
148,40040031,2000,3000,4000,4000,4000,152,0,,,,,0
149,40040033,2000,3000,4000,4000,4000,151,0,,,2019/06/20 06:00:00,2019/06/30 05:59:59,20818
150,40040034,2000,3000,4000,4000,4000,150,0,,,,,0
151,40040039,2000,3000,4000,4000,4000,149,0,,,,,20820
152,40040040,2000,3000,4000,4000,4000,148,0,,,,,0
153,40040042,2000,3000,4000,4000,4000,147,0,,,,,0
154,40040043,2000,3000,4000,4000,4000,146,0,,,,,0
155,40040046,2000,3000,4000,4000,4000,145,0,,,,,0
156,40040047,2000,3000,4000,4000,4000,144,0,,,2020/04/13 06:00:00,2020/04/20 05:59:59,0
157,40030001,200,300,400,400,400,143,0,,,,,0
158,40030002,200,300,400,400,400,142,0,,,,,0
159,40030003,200,300,400,400,400,141,0,,,,,0
160,40030004,200,300,400,400,400,140,0,,,,,0
161,40030005,200,300,400,400,400,139,0,,,,,0
162,40030006,200,300,400,400,400,138,0,,,,,0
163,40030007,200,300,400,400,400,137,0,,,,,0
164,40030008,200,300,400,400,400,136,0,,,,,0
165,40030009,200,300,400,400,400,135,0,,,,,0
166,40030010,200,300,400,400,400,134,0,,,,,0
167,40030011,200,300,400,400,400,133,0,,,,,0
168,40030012,200,300,400,400,400,132,0,,,,,0
169,40030013,200,300,400,400,400,131,0,,,,,0
170,40030014,200,300,400,400,400,130,0,,,,,0
171,40030015,200,300,400,400,400,129,0,,,,,0
172,40030016,200,300,400,400,400,128,0,,,,,0
173,40030017,200,300,400,400,400,127,0,,,,,0
174,40030018,200,300,400,400,400,126,0,,,,,0
175,40030019,200,300,400,400,400,125,0,,,,,0
176,40030020,200,300,400,400,400,124,0,,,,,0
177,40030021,200,300,400,400,400,123,0,,,,,0
178,40030022,200,300,400,400,400,122,0,,,,,0
179,40030023,200,300,400,400,400,121,0,,,,,0
180,40030024,200,300,400,400,400,120,0,,,,,0
181,40030026,200,300,400,400,400,119,0,,,,,0
182,40030029,200,300,400,400,400,118,0,,,,,0
183,40030030,200,300,400,400,400,117,0,,,2019/06/20 06:00:00,2019/06/30 05:59:59,20818
184,40030031,200,300,400,400,400,116,0,,,,,0
185,40030033,200,300,400,400,400,115,0,,,,,20820
186,40030034,200,300,400,400,400,114,0,,,,,0
187,40030036,200,300,400,400,400,113,0,,,,,0
188,40030037,200,300,400,400,400,112,0,,,,,0
189,40030038,200,300,400,400,400,111,0,,,2020/04/13 06:00:00,2020/04/20 05:59:59,0
201,40050057,4000,6000,9000,9000,9000,299,0,,2019/05/14 05:59:59,,2019/05/14 05:59:59,0
202,40040049,2000,3000,4000,4000,4000,298,0,,2019/05/14 05:59:59,,2019/05/14 05:59:59,0
301,40050059,4000,6000,9000,9000,9000,399,0,2019/05/14 06:00:00,,2019/05/14 06:00:00,2019/05/31 05:59:59,0
302,40050044,4000,6000,9000,9000,9000,398,0,2019/05/14 06:00:00,,2019/05/14 06:00:00,2019/05/31 05:59:59,0
303,40040022,2000,3000,4000,4000,4000,397,0,2019/05/14 06:00:00,,2019/05/14 06:00:00,2019/05/31 05:59:59,0
401,40050032,4000,6000,9000,9000,9000,499,0,2019/05/20 06:00:00,2019/05/27 05:59:59,2019/05/20 06:00:00,2019/05/27 05:59:59,0
402,40050033,4000,6000,9000,9000,9000,498,0,2019/05/20 06:00:00,2019/05/27 05:59:59,2019/05/20 06:00:00,2019/05/27 05:59:59,0
403,40040037,2000,3000,4000,4000,4000,497,0,2019/05/20 06:00:00,2019/05/27 05:59:59,2019/05/20 06:00:00,2019/05/27 05:59:59,0
501,40050060,4000,6000,9000,9000,9000,599,0,2019/05/31 06:00:00,,2019/05/31 06:00:00,2019/06/20 05:59:59,0
502,40040030,2000,3000,4000,4000,4000,598,0,2019/05/31 06:00:00,,2019/05/31 06:00:00,2019/06/20 05:59:59,0
601,40050061,4000,6000,9000,9000,9000,699,0,2019/06/20 06:00:00,,2019/06/20 06:00:00,2019/06/30 05:59:59,0
602,40040051,2000,3000,4000,4000,4000,698,0,2019/06/20 06:00:00,,2019/06/20 06:00:00,2019/06/30 05:59:59,0
701,40050062,4000,6000,9000,9000,9000,799,0,2019/06/30 06:00:00,,2019/06/30 06:00:00,2019/07/11 05:59:59,0
702,40040052,2000,3000,4000,4000,4000,798,0,2019/06/30 06:00:00,,2019/06/30 06:00:00,2019/07/11 05:59:59,0
801,40050063,4000,6000,9000,9000,9000,899,0,2019/07/11 06:00:00,,2020/01/14 06:00:00,2020/01/29 05:59:59,20816
802,40040053,2000,3000,4000,4000,4000,898,0,2019/07/11 06:00:00,,2020/01/14 06:00:00,2020/01/29 05:59:59,20816
901,40050066,4000,6000,9000,9000,9000,999,0,2019/07/31 06:00:00,,2019/07/31 06:00:00,2019/08/13 05:59:59,0
902,40040054,2000,3000,4000,4000,4000,998,0,2019/07/31 06:00:00,,2019/07/31 06:00:00,2019/08/13 05:59:59,0
1001,40050067,4000,6000,9000,9000,9000,1099,0,2019/08/13 06:00:00,,2019/08/13 06:00:00,2019/08/22 05:59:59,0
1002,40040056,2000,3000,4000,4000,4000,1098,0,2019/08/13 06:00:00,,2019/08/13 06:00:00,2019/08/22 05:59:59,0
